epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,5101.62,1.00964,0.44491,1.07798,0.9867,0.94657,0.97757,0.70625,1.07243,0.3916,1.12888,0.0026575,0.0026575,0.0026575
91,5157.88,1.0044,0.44612,1.07594,0.98847,0.94305,0.97722,0.70656,1.0705,0.39137,1.12849,0.002575,0.002575,0.002575
92,5214.78,0.99956,0.44187,1.07543,0.98752,0.94487,0.97717,0.70605,1.0697,0.39147,1.12874,0.0024925,0.0024925,0.0024925
93,5271.04,1.00361,0.44359,1.07813,0.9805,0.94989,0.97682,0.7072,1.07098,0.3925,1.12891,0.00241,0.00241,0.00241
94,5327.56,1.00043,0.43799,1.07708,0.97934,0.9501,0.9768,0.70714,1.07277,0.39297,1.12974,0.0023275,0.0023275,0.0023275
95,5383.73,0.99831,0.43785,1.07814,0.97883,0.95125,0.97658,0.70719,1.07258,0.39208,1.12968,0.002245,0.002245,0.002245
96,5439.52,0.99334,0.4323,1.0742,0.9798,0.95001,0.97664,0.7083,1.07205,0.39218,1.12962,0.0021625,0.0021625,0.0021625
97,5495.67,0.99741,0.43293,1.0766,0.97802,0.95291,0.97624,0.70861,1.07087,0.39263,1.12914,0.00208,0.00208,0.00208
98,5551.52,0.99721,0.43533,1.07603,0.98025,0.9508,0.97651,0.70822,1.07104,0.39186,1.12929,0.0019975,0.0019975,0.0019975
99,5606.84,0.99175,0.42956,1.07134,0.97878,0.95125,0.97658,0.70987,1.07051,0.39197,1.12886,0.001915,0.001915,0.001915
100,5662.23,0.9911,0.42945,1.07239,0.97843,0.95216,0.97661,0.70961,1.06973,0.391,1.12836,0.0018325,0.0018325,0.0018325
101,5717.58,0.99014,0.42687,1.07256,0.98072,0.95023,0.97703,0.71008,1.06962,0.39048,1.12818,0.00175,0.00175,0.00175
102,5774.09,0.98685,0.42789,1.07256,0.9798,0.95034,0.97663,0.70931,1.06934,0.38966,1.12796,0.0016675,0.0016675,0.0016675
103,5830.79,0.9808,0.42419,1.06629,0.98026,0.95017,0.97699,0.70811,1.07001,0.38934,1.12779,0.001585,0.001585,0.001585
104,5887.55,0.98504,0.42659,1.07118,0.98012,0.95034,0.97677,0.7083,1.0699,0.38908,1.12745,0.0015025,0.0015025,0.0015025
105,5943.7,0.98522,0.42547,1.0679,0.98018,0.95034,0.97636,0.70778,1.06965,0.38896,1.12725,0.00142,0.00142,0.00142
106,5999.91,0.98298,0.42514,1.06673,0.98027,0.95078,0.97643,0.70821,1.06922,0.38856,1.12702,0.0013375,0.0013375,0.0013375
107,6055.32,0.97679,0.41673,1.0638,0.9798,0.95034,0.97642,0.70898,1.0689,0.38846,1.12642,0.001255,0.001255,0.001255
108,6111.4,0.97811,0.42005,1.06357,0.98212,0.94806,0.97647,0.70815,1.06895,0.38845,1.12614,0.0011725,0.0011725,0.0011725
109,6167.86,0.97476,0.41968,1.06431,0.98343,0.94621,0.97672,0.70772,1.06901,0.38881,1.12606,0.00109,0.00109,0.00109
110,6223.84,0.97148,0.41493,1.06382,0.98267,0.94761,0.97685,0.70799,1.06883,0.38835,1.12574,0.0010075,0.0010075,0.0010075
